,MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
15,685100,900,RWA NL,Rwanda National League,R,166,Rwanda,L,3571,Etincelles,9984,AS Kigali,-0.5,2.0,8.5,-0.25,0.75,4,0,0,1,8,3,2,0,0,101,126,63,96,7,3,6,7,0,0,84,0
16,685421,704,ARG R,Argentina Reserve League,A,32,Argentina,A,7980,CA Tigre Reserves,15523,Deportivo Moron Reserves,-0.25,2.25,9,-0.25,1.0,4,0,1,4,4,5,3,0,0,98,103,50,70,3,3,3,8,0,0,83,0
17,685432,704,ARG R,Argentina Reserve League,A,32,Argentina,A,19920,Chacarita Juniors Reserves,19660,Ferro Carril Oeste Reserves,+0.5,2.25,10,+0.25,1.0,4.5,2,3,3,5,0,2,0,0,98,95,58,59,3,6,9,9,0,0,82,0
18,685422,704,ARG R,Argentina Reserve League,A,32,Argentina,A,16167,Nueva Chicago Reserves,13158,Sarmiento Reserves,+0.5,2.75,9,+0.25,1.25,4.5,5,3,3,5,1,0,0,0,121,138,54,63,7,7,2,5,0,0,85,1
19,685290,749,ZAF ND1,South Africa National Div 1,S,37,South Africa,N,20033,Steenberg United,32395,TS Galaxy,-0.25,2.25,9.5,0.0,1.0,4.5,2,1,2,5,0,0,0,0,57,76,27,44,4,2,1,3,0,0,57,1
20,685326,713,TUN L1,Tunisia League 1,T,55,Tunisia,T,5086,JS Kairouanaise,5321,Stade Tunisien,-0.25,2.0,8.5,0.0,0.75,4,0,1,4,1,1,1,0,0,92,58,60,13,1,3,3,1,63,37,52,1
21,685327,713,TUN L1,Tunisia League 1,T,55,Tunisia,T,6213,Bizertin,3259,CS Sfaxien,+0.25,1.75,8.5,0.0,0.75,4,1,0,2,2,0,2,0,0,36,40,18,24,1,1,3,4,0,0,52,1
22,685325,713,TUN L1,Tunisia League 1,T,55,Tunisia,T,27923,AS Slimane,7637,CS Hammam Lif,-0.5,2.0,8,-0.25,0.75,3.5,0,0,4,1,1,1,0,0,36,36,43,15,4,0,1,0,0,0,50,0
23,685067,238,DZA D1,Algeria Division 1,A,111,Algeria,A,27256,AS Ain M'lila,18968,US Biskra,-0.5,2.0,8.5,-0.25,0.75,4,3,0,8,2,1,0,0,0,55,52,42,35,5,0,5,1,48,52,HT,1
,MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
